No.,Name,State,SN,Adress,Phone,Website,Located,Function
145,Butterfield & Associates Grain Inc,missouri,MO,"Meadville, Missouri 64659",1-660-938-4116,www.butterfieldgrain.com,Located in Linn County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
146,Cameron Cooperative Elevator Association - Mill & Office,missouri,MO,"Cameron, Missouri 64429",1-816-632-2124,cameroncoop.com,Located in Clinton County,Grain Elevators
147,"Capital Electric Line Builders, Inc.",missouri,MO,"Riverside, Missouri 64150",1-816-389-4000,www.celbinc.com,Located in Platte County,"Building Contractors, Construction Companies, Electric Contractors, Grain Elevators"
148,Centric Projects LLC,missouri,MO,"Kansas City, Missouri 64108",1-816-389-8300,centricprojects.com,Located in Jackson County,"Builders and Contractors, Building and Home Construction, Building Contractors, Construction Companies, Construction Consulting and Management Services, Grain Elevators, Home Builders and Developers"
149,Feed Products & Service Co,missouri,MO,"Saint Louis, Missouri 63119",1-314-843-7300,feedproducts.net,Located in St Louis City County,Grain Elevators
150,Glasgow MFA Agri Service,missouri,MO,"Glasgow, Missouri 65254",1-660-338-2251,www.glasgowmfa.com,Located in Howard County,"Agricultural Equipment and Supplies Retail, Elevator Contractors, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail"
151,Home Matters Alliance LLC,missouri,MO,"Saint Louis, Missouri 63122",1-314-575-8129,www.homemattersalliance.com,Located in St Louis City County,"Building Contractors, Construction Companies, Grain Elevators"
152,Infinite Energy Construction,missouri,MO,"Kansas City, Missouri 64145",1-816-763-7471,infiniteenergyconstruction.com/,Located in Jackson County,"Building Contractors, Construction Companies, Design and Build Contractors, Grain Elevators"
153,K C Supply CO Inc,missouri,MO,"Kansas City, Missouri 64111",1-816-753-7676,kcsupply.com,Located in Jackson County,"Building and Home Construction, Grain Elevator Equipment and Builders, Grain Elevators"
154,Lawson Agri Service,missouri,MO,"Lawson, Missouri 64062",1-816-296-3262,www.lathropfeed.com,Located in Ray County,"Animal Feed, Fence Materials, Grain Elevators, Pet Food and Supplies Retail, Pet Shops"
155,MFA Agri Svc-Lexington,missouri,MO,"Lexington, Missouri 64067",1-660-259-2261,lexingtonmfa.com,Located in Lafayette County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail"
156,Mill & Elevator Supply CO Inc,missouri,MO,"Kansas City, Missouri 64120",1-816-241-1500,www.millelevatorsupply.com,Located in Jackson County,"Building and Home Construction, Clothing Stores, Clothing Wholesale and Manufacturers, Grain Elevator Equipment and Builders, Grain Elevators, Industrial Equipment and Supplies Dealers, Safety Clothing and Equipment"
157,Pilot Grove Cooperative Elevator,missouri,MO,"Pilot Grove, Missouri 65276",1-660-834-5412,pilotgrovecoop.com,Located in Cooper County,Grain Elevators
158,Robertson Construction Inc,missouri,MO,"Lake Saint Louis, Missouri 63367",1-636-236-8099,robertsonconstructioninc.com,Located in St Charles County,"Builders and Contractors, Building Contractors, Construction Companies, Grain Elevators, Real Estate Inspection Services, Roofing Contractors, Roofing Maintenance and Repair"
159,Seed & Farm Supply,missouri,MO,"Liberal, Missouri 64762",1-417-843-6465,seedandfarm.com,Located in Barton County,"Agricultural Equipment and Supplies Retail, Chemicals Wholesale and Manufacturers, Farm Equipment and Supplies Dealers, Grain Elevators"
160,Twin Peaks Contracting Inc,missouri,MO,"Saint Louis, Missouri 63119",1-314-968-0202,twinpeakscontracting.com,Located in St Louis City County,"Building Contractors, Construction Companies, Grain Elevators"
161,Unerstall Construction,missouri,MO,"Washington, Missouri 63090",1-636-239-7317,www.unerstallconstruction.com,Located in Franklin County,"Building Contractors, Construction Companies, Grain Elevators"
162,Whitley Construction Co LLC,missouri,MO,"Lees Summit, Missouri 64081",1-816-524-4048,whitleyco.net,Located in Jackson County,"Building Contractors, Construction Companies, Government Contractors, Grain Elevators"
163,Agassiz Seeds,north-dakota,ND,"West Fargo, North Dakota 58078",1-701-282-8118,www.agassizseed.com,Located in Cass County,"Building and Home Construction, Grain Elevator Equipment and Builders, Grain Elevators"
164,Alton Grain Terminal,north-dakota,ND,"Hillsboro, North Dakota 58045",1-701-636-5130,www.altonterminal.com,Located in Traill County,Grain Elevators
165,Bottineau Farmers Elevator,north-dakota,ND,"Bottineau, North Dakota 58318",1-701-228-2294,www.bottineaufarmers.com,Located in Bottineau County,Grain Elevators
166,Cando Farmers Grain & Oil Cooperative - Elevator,north-dakota,ND,"Cando, North Dakota 58324",1-701-968-4446,www.candofarmersgrainandoil.com,Located in Towner County,Grain Elevators
167,Central Valley Bean Cooperative,north-dakota,ND,"Buxton, North Dakota 58218",1-701-847-2622,www.centralvalleybean.com,Located in Traill County,"Business Consultants and Advisors, Business Management Services, Business Services, Fruits and Vegetables Retail, Fruits and Vegetables Wholesale, Grain Elevators, Management Consultants"
168,Dakota Dry Bean Inc,north-dakota,ND,"Crary, North Dakota 58327",1-701-398-3112,dakotadrybean.com,Located in Ramsey County,Grain Elevators
169,Effertz Key Ranch Inc,north-dakota,ND,"Velva, North Dakota 58790",1-701-624-5104,effertzkeyranch.com,Located in McHenry County,Grain Elevators
170,Farmers Union Elevator,north-dakota,ND,"New Salem, North Dakota 58563",1-701-843-7555,westriv.com,Located in Morton County,"Animal Feed, Grain Elevators"
171,Finley Farmers Grain Company,north-dakota,ND,"Finley, North Dakota 58230",1-701-524-1500,finleyfarmerselevator.com,Located in Steele County,"Business Consultants and Advisors, Business Management Services, Business Services, Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail, Management Consultants"
172,Fordville CO Op Marketing Association,north-dakota,ND,"Fordville, North Dakota 58231",1-701-229-3293,fordvillecoop.com,Located in Walsh County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail"
173,Gutter Topper OF North Dakota,north-dakota,ND,"Riverdale, North Dakota 58565",1-701-654-7694,www.guttertopperofnorthdakota.com,Located in McLean County,"Building and Home Construction, Building Contractors, Construction Companies, Grain Elevators, Home Improvement and Maintenance, Roofing Contractors, Roofing"
174,Harvey Farmers Elevator,north-dakota,ND,"Harvey, North Dakota 58341",1-701-324-2248,arthurcompanies.com,Located in Wells County,Grain Elevators
175,James Valley Grain,north-dakota,ND,"Oakes, North Dakota 58474",1-701-742-3363,jamesvalleygrain.com,Located in Dickey County,Grain Elevators
176,Lorrich Industries Inc,north-dakota,ND,"Cavalier, North Dakota 58220",1-701-549-3333,lorrich.com,Located in Pembina County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Bins, Grain Elevators, Metals, Sheet Metal Wholesale and Manufacturers"
177,Maple River Grain & Agronomy,north-dakota,ND,"Casselton, North Dakota 58012",1-701-347-4465,maplerivergrain.com,Located in Cass County,Grain Elevators
178,Martin Construction Inc,north-dakota,ND,"Dickinson, North Dakota 58601",1-701-483-3478,www.martinconstructionnd.com/,Located in Stark County,"Builders and Contractors, Building Contractors, Construction Companies, Excavation Contractors, Government Contractors, Grain Elevators"
179,Mayport Farmers Cooperative,north-dakota,ND,"Portland, North Dakota 58274",1-701-786-4263,mayportfarmers.com,Located in Traill County,Grain Elevators
180,Powers Lake Elevator Company,north-dakota,ND,"Powers Lake, North Dakota 58773",1-701-464-5662,www.powerslakend.com,Located in Burke County,"Agricultural Equipment and Supplies Retail, Animal Feed, Farm Equipment and Supplies Dealers, Feed Concentrates and Supplements, Grain Elevators"
181,Reynolds United Cooperative,north-dakota,ND,"Reynolds, North Dakota 58275",1-701-847-2261,reynoldsunited.com,Located in Grand Forks County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
182,Reynolds United Cooperative,north-dakota,ND,"Buxton, North Dakota 58218",1-701-847-2646,www.reynoldsunited.com,Located in Traill County,"Grain Bins, Grain Elevators"
183,South Central Grain,north-dakota,ND,"Napoleon, North Dakota 58561",1-701-754-2573,www.southcentralgrain.com,Located in Logan County,"Agricultural Equipment and Supplies Retail, Animal Feed, Farm Equipment and Supplies Dealers, Grain Elevators"
184,Wanzek Construction Inc,north-dakota,ND,"West Fargo, North Dakota 58078",1-701-282-6171,www.wanzek.com,Located in Cass County,"Builders and Contractors, Building Contractors, Construction Companies, Cranes, Hoisting and Rigging Services, Government Contractors, Grain Elevators"
185,Woody's Feed & Grain,north-dakota,ND,"Dickinson, North Dakota 58601",1-701-225-5161,www.woodysfeed.com,Located in Stark County,Grain Elevators
186,A G Partners Cooperative Inc,kansas,KS,"Hiawatha, Kansas 66434",1-785-742-2196,www.agpartnerscoop.com,Located in Brown County,Grain Elevators
187,Agmark,kansas,KS,"Beloit, Kansas 67420",1-785-738-9641,www.agmarkllc.com,Located in Mitchell County,Grain Elevators
188,"Beachner Grain Inc - Elevator, St Paul Elevator",kansas,KS,"Saint Paul, Kansas 66771",1-620-449-8510,www.beachner.com,Located in Neosho County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
189,Continental Agra Grain Equipment,kansas,KS,"Newton, Kansas 67114",1-316-283-9602,www.continentalagra.com,Located in Harvey County,"Building and Home Construction, Grain Elevator Equipment and Builders, Grain Elevators"
190,Cooperative Elevator & Supply Company,kansas,KS,"Meade, Kansas 67864",1-620-873-2161,www.meadecoop.com,Located in Meade County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
191,Cornerstone Agency LLC,kansas,KS,"Colby, Kansas 67701",1-785-462-3354,www.cornerstone-ag.com,Located in Thomas County,Grain Elevators
192,Countryside Feed LLC,kansas,KS,"Hillsboro, Kansas 67063",1-620-947-3111,www.countrysidefeed.com,Located in Marion County,"Agricultural Equipment and Supplies Retail, Animal Health, Farm Equipment and Supplies Dealers, Grain Elevators, Pet Food and Supplies Retail"
193,Delphos Cooperative Association Elevator,kansas,KS,"Delphos, Kansas 67436",1-785-523-4213,www.delphoscoop.com,Located in Ottawa County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail"
194,Diversified Inc.,kansas,KS,"Shawnee, Kansas 66226",1-913-424-0244,www.kcdiversifiedcontractors.com,Located in Johnson County,"Building and Home Construction, Building Contractors, Construction Companies, Design and Build Contractors, Grain Elevators, Remodeling and Repair Contractors Commercial"
195,Farmers CO Op Elevator,kansas,KS,"Garden Plain, Kansas 67050",1-316-535-2221,gardenplaincoop.com,Located in Sedgwick County,Grain Elevators
196,Farmers Cooperative,kansas,KS,"Cheney, Kansas 67025",1-316-542-3181,gardenplaincoop.com,Located in Sedgwick County,Grain Elevators
197,Farmers Cooperative Elevator,kansas,KS,"Halstead, Kansas 67056",1-316-835-2261,www.farcoop.com,Located in Harvey County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
198,Fowler Equity EXCH FERT Department,kansas,KS,"Fowler, Kansas 67844",1-620-646-5262,fowlerequity.com,Located in Meade County,"Banks, Financial Institutions, Grain Elevators, Mortgage and Loan Banks"
199,Golden Belt Cooperative Association Inc,kansas,KS,"Ellis, Kansas 67637",1-785-726-3115,goldenbeltcoop.com,Located in Ellis County,Grain Elevators
200,Heartland Mills Inc,kansas,KS,"Marienthal, Kansas 67863",1-620-379-4472,www.heartlandmill.com,Located in Wichita County,Grain Elevators
201,Hi-Plains Cooperative Association Inc,kansas,KS,"Colby, Kansas 67701",1-785-462-3351,www.hi-plainscoop.com,Located in Thomas County,Grain Elevators
202,Johnson Cooperative Grain Company,kansas,KS,"Johnson, Kansas 67855",1-620-492-6210,johnsoncoop.com,Located in Stanton County,Grain Elevators
203,L Conat Construction,kansas,KS,"Dodge City, Kansas 67801",1-620-408-6784,www.conantconstructionllc.com,Located in Ford County,"Builders and Contractors, Building and Home Construction, Building Contractors, Construction Companies, Grain Elevators, Home Builders and Developers"
204,Lighthouse Renovation & Repair,kansas,KS,"Overland Park, Kansas 66213",1-913-205-8997,www.lighthouserenovationkc.com/,Located in Johnson County,"Bathroom Planning and Remodeling, Building and Home Construction, Building Contractors, Building Remodeling and Repair Contractors, Construction Companies, Grain Elevators, Kitchen and Bathroom Remodeling"
205,Mc Cune Farmers Cooperative Association,kansas,KS,"Mc Cune, Kansas 66753",1-620-632-4226,mccunecoop.com,Located in Crawford County,"Agricultural Equipment and Supplies Retail, Fuels Retail, Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Propane and Natural Gas"
206,Mc Donald Commodities,kansas,KS,"Leawood, Kansas 66209",1-913-491-3711,mcdonaldpelz.com,Located in Johnson County,Grain Elevators
207,Meade Cooperative South,kansas,KS,"Meade, Kansas 67864",1-620-873-2881,meadecoop.com,Located in Meade County,Grain Elevators
208,MGP Ingredients Inc,kansas,KS,"Atchison, Kansas 66002",1-913-367-1480,www.mgpingredients.com,Located in Atchison County,"Agricultural Equipment and Supplies Retail, Chemicals Dealers, Farm Equipment and Supplies Dealers, Grain Elevators"
209,Mid Continent Industries,kansas,KS,"Newton, Kansas 67114",1-316-283-9648,www.midcontinentindustries.com,Located in Harvey County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Metals, Welding Contractors"
210,Minneola Cooperative Inc,kansas,KS,"Minneola, Kansas 67865",1-620-885-4235,minneolacoop.com,Located in Clark County,Grain Elevators
211,OK Company Op Grain Company,kansas,KS,"Kiowa, Kansas 67070",1-620-825-4212,okcoop.com,Located in Barber County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
212,Opp Concrete,kansas,KS,"Wichita, Kansas 67209",1-316-944-4600,www.oppconcretewichita.com/,Located in Sedgwick County,"Building and Home Construction, Building Contractors, Construction Companies, Grain Elevators"
213,Pawnee County Cooperative Association,kansas,KS,"Larned, Kansas 67550",1-620-285-6919,pawneecoop.com,Located in Pawnee County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
214,Premier Construction Service Inc,kansas,KS,"Derby, Kansas 67037",1-316-440-2740,www.premiercs.net,Located in Sedgwick County,"Builders and Contractors, Building and Home Construction, Building Contractors, Carpenters, Construction Companies, Framing Contractors, Grain Elevators, Roof Structures and Trusses"
215,Pro-Ag Marketing,kansas,KS,"Kensington, Kansas 66951",1-785-476-2211,www.proagmarketing.com,Located in Smith County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Fuels Retail, Grain Elevators, Propane and Natural Gas"
216,Sherwood Construction Co Inc,kansas,KS,"Wichita, Kansas 67213",1-316-943-0211,www.sherwoodcompanies.com,Located in Sedgwick County,"Building Contractors, Construction Companies, Government Contractors, Grain Elevators"
217,Southern Plains Cooperative,kansas,KS,"Lewis, Kansas 67552",1-620-324-5536,lewiscom.org,Located in Edwards County,"Auto Tire Shop Equipment and Supplies, Grain Elevators, Lawn and Garden Equipment and Supplies Retail"
218,Stafford County Flour Mills,kansas,KS,"Hudson, Kansas 67545",1-620-458-4121,hudsoncream.com,Located in Stafford County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail"
219,Steinlite Corporation,kansas,KS,"Atchison, Kansas 66002",1-913-367-3945,steinlite.com,Located in Atchison County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Industrial Equipment and Supplies Dealers, Industrial Equipment and Supplies Wholesale and Manufacturers"
220,United Prairie Agency LLC,kansas,KS,"Lakin, Kansas 67860",1-620-355-6361,unitedpag.com,Located in Kearny County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Fuel Oils, Grain Elevators, Petroleum Products and Equipment"
221,Wildcat Construction Co Inc,kansas,KS,"Wichita, Kansas 67209",1-316-945-9408,wildcatcompanies.com,Located in Sedgwick County,"Builders and Contractors, Building Contractors, Construction Companies, Government Contractors, Grain Elevators"
222,Woofter Construction & Irrigation,kansas,KS,"Colby, Kansas 67701",1-785-462-8653,www.woofter.com,Located in Thomas County,"Builders and Contractors, Building Contractors, Construction Companies, Grain Elevators"
223,Dakota Plains AG Center,south-dakota,SD,"Parkston, South Dakota 57366",1-605-935-6791,www.dakotaplainsag.com,Located in Hutchinson County,Grain Elevators
224,Farmers Cooperative Elevator,south-dakota,SD,"Rosholt, South Dakota 57260",1-605-537-4236,rosholtelevator.com,Located in Roberts County,Grain Elevators
225,Harrold Grain Co LLC,south-dakota,SD,"Harrold, South Dakota 57536",1-605-875-3278,www.harroldgrain.com,Located in Hughes County,Grain Elevators
226,Madison Farmers Elevator Company,south-dakota,SD,"Madison, South Dakota 57042",1-605-256-4584,madisonfarmerselevator.com,Located in Lake County,Grain Elevators
227,Southeast Farmers Elevator,south-dakota,SD,"Elk Point, South Dakota 57025",1-605-356-3034,southeastfarmers.com,Located in Union County,Grain Elevators
