Name,State,SN,Adress,Phone,Website,Located,Function,County,LON,LAT,Watershed,BasinName
Western Consolidated Cooperative,minnesota,MN,"Holloway, Minnesota 56249",1-320-394-2171,west-con.com,Located in Swift County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail",Swift,-95.681449,45.282694,Upper Mississippi,MissppRN
Boyd Grain Inc,indiana,IN,"Washington, Indiana 47501",1-812-254-5599,boydgrain.com,Located in Daviess County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Freight and Cargo Transport, Freight Trucking, Grain Elevators, Trucking Companies",Daviess,-87.07205,38.702413,Ohio,OhioR
Riley Equipment Inc,indiana,IN,"Vincennes, Indiana 47591",1-812-886-5500,www.rileyequipment.com,Located in Knox County,"Agricultural Equipment and Supplies Retail, Building and Home Construction, Farm Equipment and Supplies Dealers, Grain Elevator Equipment and Builders, Grain Elevators, Industrial Equipment and Supplies Dealers",Knox,-87.41803,38.689077,Ohio,OhioR
Agrex Inc,nebraska,NE,"Superior, Nebraska 68978",1-402-879-4702,www.agrexinc.com,Located in Nuckolls County,Grain Elevators,Nuckolls,-98.047196,40.176396,Missouri,MissouriR
Batterton Waterproofing Inc,nebraska,NE,"York, Nebraska 68467",1-402-362-3855,battertonwaterproofing.com,Located in York County,"Builders and Contractors, Building and Home Construction, Grain Elevator Equipment and Builders, Grain Elevators",York,-97.597126,40.872749,Missouri,MissouriR
Central Valley AG,nebraska,NE,"Hooper, Nebraska 68031",1-402-654-3367,cvacoop.com,Located in Dodge County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail",Dodge,-96.654014,41.577912,Missouri,MissouriR
Cooperative Supply,nebraska,NE,"Leigh, Nebraska 68643",1-402-487-2295,coopsupply.com,Located in Colfax County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators",Colfax,-97.086476,41.574018,Missouri,MissouriR
Cooperative Supply Inc,nebraska,NE,"Dodge, Nebraska 68633",1-402-693-2261,www.coopsupply.com,Located in Dodge County,"Building Materials and Supplies Dealers, Grain Elevators, Saw Sales, Sharpening and Repair",Dodge,-96.654014,41.577912,Missouri,MissouriR
Cooperative Supply Inc,nebraska,NE,"Dodge, Nebraska 68633",1-402-693-2222,www.coopsupply.com,Located in Dodge County,Grain Elevators,Dodge,-96.654014,41.577912,Missouri,MissouriR
Country Partners Cooperative,nebraska,NE,"Albion, Nebraska 68620",1-402-395-2139,countrypartnerscoop.com,Located in Boone County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators",Boone,-98.067249,41.706791,Missouri,MissouriR
Country Partners Cooperative Company,nebraska,NE,"Primrose, Nebraska 68655",1-308-396-1650,countrypartnerscoop.com,Located in Boone County,Grain Elevators,Boone,-98.067249,41.706791,Missouri,MissouriR
Crossroads Cooperative Association,nebraska,NE,"Sidney, Nebraska 69162",1-308-884-2238,www.crossroadscoop.com,Located in Cheyenne County,Grain Elevators,Cheyenne,-102.994967,41.219774,Missouri,MissouriR
Crossroads Cooperative Association,nebraska,NE,"Sidney, Nebraska 69162",1-308-254-4230,crossroadscoop.com,Located in Cheyenne County,Grain Elevators,Cheyenne,-102.994967,41.219774,Missouri,MissouriR
CTEC Inc,nebraska,NE,"York, Nebraska 68467",1-402-362-5951,ctecconcrete.com,Located in York County,"Building and Home Construction, Grain Elevator Equipment and Builders, Grain Elevators",York,-97.597126,40.872749,Missouri,MissouriR
Grain States Soya Inc,nebraska,NE,"West Point, Nebraska 68788",1-402-372-2429,www.soybest.com,Located in Cuming County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators",Cuming,-96.787394,41.916406,Missouri,MissouriR
J E Meuret Grain Company,nebraska,NE,"Brunswick, Nebraska 68720",1-402-842-2515,jemeuretgrain.com,Located in Antelope County,Grain Elevators,Antelope,-98.066694,42.176915,Missouri,MissouriR
Kaapa Ethanol LLC,nebraska,NE,"Minden, Nebraska 68959",1-308-743-2217,kaapaethanol.com,Located in Kearney County,Grain Elevators,Kearney,-98.948023,40.50671,Missouri,MissouriR
Kaapa Grains,nebraska,NE,"Elm Creek, Nebraska 68836",1-308-856-4643,kaapagrains.com,Located in Buffalo County,Grain Elevators,Buffalo,-99.074987,40.855162,Missouri,MissouriR
Midwest Farmers Cooperative,nebraska,NE,"Elmwood, Nebraska 68349",1-402-994-2585,midwestfarmers.coop,Located in Cass County,Grain Elevators,Cass,-96.140884,40.909719,Missouri,MissouriR
Pride Grain,nebraska,NE,"Long Pine, Nebraska 69217",1-402-273-4468,www.pridegrain.com,Located in Brown County,Grain Elevators,Brown,-99.92951,42.430005,Missouri,MissouriR
Shickley Grain CO Inc,nebraska,NE,"Shickley, Nebraska 68436",1-402-627-2425,shickleygrain.com,Located in Fillmore County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail",Fillmore,-97.596508,40.524664,Missouri,MissouriR
Andersons Investment Service,ohio,OH,"Maumee, Ohio 43537",1-419-891-6358,andersonsinc.com,Located in Lucas County,"Financial Services, Grain Elevators, Homes and Residential Real Estate, Housing Consultants, Railroad Car Leasing, Railroads, Real Estate Agencies and Brokerage, Real Estate Consultants",Lucas,-83.658294,41.61992,Great Lakes,GreatLakes
Creamer Metal Products Inc,ohio,OH,"London, Ohio 43140",1-740-852-1752,www.creamermetal.com,Located in Madison County,"Agricultural Equipment and Supplies Retail, Building and Home Construction, Exporters, Farm Equipment and Supplies Dealers, Grain Elevator Equipment and Builders, Grain Elevators",Madison,-83.400207,39.894025,Ohio,OhioR
Deerfield Farms Service,ohio,OH,"Deerfield, Ohio 44411",1-330-584-4715,deerfieldfarms.com,Located in Portage County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail",Portage,-81.197405,41.167681,Ohio,OhioR
Elgin Service Center,ohio,OH,"Pioneer, Ohio 43554",1-419-485-8593,kbuildings.com,Located in Williams County,"Grain Elevator Equipment and Builders, Grain Elevators",Williams,-84.588163,41.560323,Great Lakes,GreatLakes
Farmers Elevator Grain & SUPL,ohio,OH,"New Bavaria, Ohio 43548",1-419-653-4132,www.thefarmerselevator.com,Located in Henry County,Grain Elevators,Henry,-84.068235,41.333886,Great Lakes,GreatLakes
Gerald Grain Center,ohio,OH,"Napoleon, Ohio 43545",1-419-598-8015,www.geraldgrain.com,Located in Henry County,Grain Elevators,Henry,-84.068235,41.333886,Great Lakes,GreatLakes
Hicksville Grain Company,ohio,OH,"Hicksville, Ohio 43526",1-419-542-7021,www.hicksvillegrain.com,Located in Defiance County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail",Defiance,-84.49048,41.323924,Great Lakes,GreatLakes
Jewell Grain Company,ohio,OH,"Defiance, Ohio 43512",1-419-497-2101,jewellgrain.com,Located in Defiance County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail",Defiance,-84.49048,41.323924,Great Lakes,GreatLakes
Keller Grain & Feed Inc,ohio,OH,"Greenville, Ohio 45331",1-937-448-2284,kellergrain.com,Located in Darke County,Grain Elevators,Darke,-84.619409,40.133276,Ohio,OhioR
Pandora Grain & Supply,ohio,OH,"Pandora, Ohio 45877",1-419-384-3255,www.pandoragrain.com,Located in Putnam County,Grain Elevators,Putnam,-84.131732,41.022129,Great Lakes,GreatLakes
Scott Equity Exchange,ohio,OH,"Scott, Ohio 45886",1-419-622-6151,scottequityexchange.com,Located in Van Wert County,Grain Elevators,Van Wert,-84.586121,40.855415,Great Lakes,GreatLakes
Bewley ConStruction LLC,missouri,MO,"Nixa, Missouri 65714",1-417-459-3777,bewleyconstruction.com,Located in Christian County,"Building Contractors, Construction Companies, Grain Elevators",Christian,-93.188865,36.969576,Arkansas-White-Red,ArkWhtRedR
Butterfield & Associates Grain Inc,missouri,MO,"Meadville, Missouri 64659",1-660-938-4116,www.butterfieldgrain.com,Located in Linn County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail",Linn,-93.107206,39.87021,Missouri,MissouriR
Cameron Cooperative Elevator Association - Mill & Office,missouri,MO,"Cameron, Missouri 64429",1-816-632-2124,cameroncoop.com,Located in Clinton County,Grain Elevators,Clinton,-94.404592,39.60178,Missouri,MissouriR
"Capital Electric Line Builders, Inc.",missouri,MO,"Riverside, Missouri 64150",1-816-389-4000,www.celbinc.com,Located in Platte County,"Building Contractors, Construction Companies, Electric Contractors, Grain Elevators",Platte,-94.773824,39.3803,Missouri,MissouriR
Centric Projects LLC,missouri,MO,"Kansas City, Missouri 64108",1-816-389-8300,centricprojects.com,Located in Jackson County,"Builders and Contractors, Building and Home Construction, Building Contractors, Construction Companies, Construction Consulting and Management Services, Grain Elevators, Home Builders and Developers",Jackson,-94.346142,39.00848,Missouri,MissouriR
Feed Products & Service Co,missouri,MO,"Saint Louis, Missouri 63119",1-314-843-7300,feedproducts.net,Located in St Louis City County,Grain Elevators,St. Louis,-90.443353,38.640542,Upper Mississippi,MissppRN
Glasgow MFA Agri Service,missouri,MO,"Glasgow, Missouri 65254",1-660-338-2251,www.glasgowmfa.com,Located in Howard County,"Agricultural Equipment and Supplies Retail, Elevator Contractors, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail",Howard,-92.69628,39.142508,Missouri,MissouriR
Home Matters Alliance LLC,missouri,MO,"Saint Louis, Missouri 63122",1-314-575-8129,www.homemattersalliance.com,Located in St Louis City County,"Building Contractors, Construction Companies, Grain Elevators",St. Louis,-90.443353,38.640542,Upper Mississippi,MissppRN
Infinite Energy Construction,missouri,MO,"Kansas City, Missouri 64145",1-816-763-7471,infiniteenergyconstruction.com/,Located in Jackson County,"Building Contractors, Construction Companies, Design and Build Contractors, Grain Elevators",Jackson,-94.346142,39.00848,Missouri,MissouriR
K C Supply CO Inc,missouri,MO,"Kansas City, Missouri 64111",1-816-753-7676,kcsupply.com,Located in Jackson County,"Building and Home Construction, Grain Elevator Equipment and Builders, Grain Elevators",Jackson,-94.346142,39.00848,Missouri,MissouriR
Lawson Agri Service,missouri,MO,"Lawson, Missouri 64062",1-816-296-3262,www.lathropfeed.com,Located in Ray County,"Animal Feed, Fence Materials, Grain Elevators, Pet Food and Supplies Retail, Pet Shops",Ray,-93.989931,39.352393,Missouri,MissouriR
MFA Agri Svc-Lexington,missouri,MO,"Lexington, Missouri 64067",1-660-259-2261,lexingtonmfa.com,Located in Lafayette County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail",Lafayette,-93.78551,39.065561,Missouri,MissouriR
Mill & Elevator Supply CO Inc,missouri,MO,"Kansas City, Missouri 64120",1-816-241-1500,www.millelevatorsupply.com,Located in Jackson County,"Building and Home Construction, Clothing Stores, Clothing Wholesale and Manufacturers, Grain Elevator Equipment and Builders, Grain Elevators, Industrial Equipment and Supplies Dealers, Safety Clothing and Equipment",Jackson,-94.346142,39.00848,Missouri,MissouriR
Pilot Grove Cooperative Elevator,missouri,MO,"Pilot Grove, Missouri 65276",1-660-834-5412,pilotgrovecoop.com,Located in Cooper County,Grain Elevators,Cooper,-92.810115,38.843552,Missouri,MissouriR
Robertson Construction Inc,missouri,MO,"Lake Saint Louis, Missouri 63367",1-636-236-8099,robertsonconstructioninc.com,Located in St Charles County,"Builders and Contractors, Building Contractors, Construction Companies, Grain Elevators, Real Estate Inspection Services, Roofing Contractors, Roofing Maintenance and Repair",St. Charles,-90.674882,38.781931,Upper Mississippi,MissppRN
Seed & Farm Supply,missouri,MO,"Liberal, Missouri 64762",1-417-843-6465,seedandfarm.com,Located in Barton County,"Agricultural Equipment and Supplies Retail, Chemicals Wholesale and Manufacturers, Farm Equipment and Supplies Dealers, Grain Elevators",Barton,-94.347133,37.502328,Arkansas-White-Red,ArkWhtRedR
Twin Peaks Contracting Inc,missouri,MO,"Saint Louis, Missouri 63119",1-314-968-0202,twinpeakscontracting.com,Located in St Louis City County,"Building Contractors, Construction Companies, Grain Elevators",St. Louis,-90.443353,38.640542,Upper Mississippi,MissppRN
Unerstall Construction,missouri,MO,"Washington, Missouri 63090",1-636-239-7317,www.unerstallconstruction.com,Located in Franklin County,"Building Contractors, Construction Companies, Grain Elevators",Franklin,-91.075037,38.411127,Upper Mississippi,MissppRN
Whitley Construction Co LLC,missouri,MO,"Lees Summit, Missouri 64081",1-816-524-4048,whitleyco.net,Located in Jackson County,"Building Contractors, Construction Companies, Government Contractors, Grain Elevators",Jackson,-94.346142,39.00848,Missouri,MissouriR
Agassiz Seeds,north-dakota,ND,"West Fargo, North Dakota 58078",1-701-282-8118,www.agassizseed.com,Located in Cass County,"Building and Home Construction, Grain Elevator Equipment and Builders, Grain Elevators",Cass,-97.248056,46.932983,Nelson,NelsonR
Alton Grain Terminal,north-dakota,ND,"Hillsboro, North Dakota 58045",1-701-636-5130,www.altonterminal.com,Located in Traill County,Grain Elevators,Traill,-97.16162,47.454188,Nelson,NelsonR
Bottineau Farmers Elevator,north-dakota,ND,"Bottineau, North Dakota 58318",1-701-228-2294,www.bottineaufarmers.com,Located in Bottineau County,Grain Elevators,Bottineau,-100.83333,48.792187,Nelson,NelsonR
Cando Farmers Grain & Oil Cooperative - Elevator,north-dakota,ND,"Cando, North Dakota 58324",1-701-968-4446,www.candofarmersgrainandoil.com,Located in Towner County,Grain Elevators,Towner,-99.24579,48.685548,Nelson,NelsonR
Central Valley Bean Cooperative,north-dakota,ND,"Buxton, North Dakota 58218",1-701-847-2622,www.centralvalleybean.com,Located in Traill County,"Business Consultants and Advisors, Business Management Services, Business Services, Fruits and Vegetables Retail, Fruits and Vegetables Wholesale, Grain Elevators, Management Consultants",Traill,-97.16162,47.454188,Nelson,NelsonR
Dakota Dry Bean Inc,north-dakota,ND,"Crary, North Dakota 58327",1-701-398-3112,dakotadrybean.com,Located in Ramsey County,Grain Elevators,Ramsey,-98.720131,48.268944,Nelson,NelsonR
Effertz Key Ranch Inc,north-dakota,ND,"Velva, North Dakota 58790",1-701-624-5104,effertzkeyranch.com,Located in McHenry County,Grain Elevators,McHenry,-100.63629,48.234577,Nelson,NelsonR
Farmers Union Elevator,north-dakota,ND,"New Salem, North Dakota 58563",1-701-843-7555,westriv.com,Located in Morton County,"Animal Feed, Grain Elevators",Morton,-101.281173,46.71607,Missouri,MissouriR
Finley Farmers Grain Company,north-dakota,ND,"Finley, North Dakota 58230",1-701-524-1500,finleyfarmerselevator.com,Located in Steele County,"Business Consultants and Advisors, Business Management Services, Business Services, Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail, Management Consultants",Steele,-97.724708,47.456175,Nelson,NelsonR
Fordville CO Op Marketing Association,north-dakota,ND,"Fordville, North Dakota 58231",1-701-229-3293,fordvillecoop.com,Located in Walsh County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail",Walsh,-97.721355,48.369474,Nelson,NelsonR
Gutter Topper OF North Dakota,north-dakota,ND,"Riverdale, North Dakota 58565",1-701-654-7694,www.guttertopperofnorthdakota.com,Located in McLean County,"Building and Home Construction, Building Contractors, Construction Companies, Grain Elevators, Home Improvement and Maintenance, Roofing Contractors, Roofing",McLean,-101.321866,47.60697,Missouri,MissouriR
Harvey Farmers Elevator,north-dakota,ND,"Harvey, North Dakota 58341",1-701-324-2248,arthurcompanies.com,Located in Wells County,Grain Elevators,Wells,-99.660984,47.587531,Missouri,MissouriR
James Valley Grain,north-dakota,ND,"Oakes, North Dakota 58474",1-701-742-3363,jamesvalleygrain.com,Located in Dickey County,Grain Elevators,Dickey,-98.504678,46.110186,Missouri,MissouriR
Lorrich Industries Inc,north-dakota,ND,"Cavalier, North Dakota 58220",1-701-549-3333,lorrich.com,Located in Pembina County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Bins, Grain Elevators, Metals, Sheet Metal Wholesale and Manufacturers",Pembina,-97.551857,48.767508,Nelson,NelsonR
Maple River Grain & Agronomy,north-dakota,ND,"Casselton, North Dakota 58012",1-701-347-4465,maplerivergrain.com,Located in Cass County,Grain Elevators,Cass,-97.248056,46.932983,Nelson,NelsonR
Martin Construction Inc,north-dakota,ND,"Dickinson, North Dakota 58601",1-701-483-3478,www.martinconstructionnd.com/,Located in Stark County,"Builders and Contractors, Building Contractors, Construction Companies, Excavation Contractors, Government Contractors, Grain Elevators",Stark,-102.65513,46.810691,Missouri,MissouriR
Mayport Farmers Cooperative,north-dakota,ND,"Portland, North Dakota 58274",1-701-786-4263,mayportfarmers.com,Located in Traill County,Grain Elevators,Traill,-97.16162,47.454188,Nelson,NelsonR
Powers Lake Elevator Company,north-dakota,ND,"Powers Lake, North Dakota 58773",1-701-464-5662,www.powerslakend.com,Located in Burke County,"Agricultural Equipment and Supplies Retail, Animal Feed, Farm Equipment and Supplies Dealers, Feed Concentrates and Supplements, Grain Elevators",Burke,-102.518309,48.791005,Nelson,NelsonR
Reynolds United Cooperative,north-dakota,ND,"Reynolds, North Dakota 58275",1-701-847-2261,reynoldsunited.com,Located in Grand Forks County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail",Grand Forks,-97.456983,47.921919,Nelson,NelsonR
Reynolds United Cooperative,north-dakota,ND,"Buxton, North Dakota 58218",1-701-847-2646,www.reynoldsunited.com,Located in Traill County,"Grain Bins, Grain Elevators",Traill,-97.16162,47.454188,Nelson,NelsonR
South Central Grain,north-dakota,ND,"Napoleon, North Dakota 58561",1-701-754-2573,www.southcentralgrain.com,Located in Logan County,"Agricultural Equipment and Supplies Retail, Animal Feed, Farm Equipment and Supplies Dealers, Grain Elevators",Logan,-99.477433,46.457363,Missouri,MissouriR
Wanzek Construction Inc,north-dakota,ND,"West Fargo, North Dakota 58078",1-701-282-6171,www.wanzek.com,Located in Cass County,"Builders and Contractors, Building Contractors, Construction Companies, Cranes, Hoisting and Rigging Services, Government Contractors, Grain Elevators",Cass,-97.248056,46.932983,Nelson,NelsonR
Woody's Feed & Grain,north-dakota,ND,"Dickinson, North Dakota 58601",1-701-225-5161,www.woodysfeed.com,Located in Stark County,Grain Elevators,Stark,-102.65513,46.810691,Missouri,MissouriR
A G Partners Cooperative Inc,kansas,KS,"Hiawatha, Kansas 66434",1-785-742-2196,www.agpartnerscoop.com,Located in Brown County,Grain Elevators,Brown,-95.564215,39.826495,Missouri,MissouriR
Agmark,kansas,KS,"Beloit, Kansas 67420",1-785-738-9641,www.agmarkllc.com,Located in Mitchell County,Grain Elevators,Mitchell,-98.209378,39.393273,Missouri,MissouriR
"Beachner Grain Inc - Elevator, St Paul Elevator",kansas,KS,"Saint Paul, Kansas 66771",1-620-449-8510,www.beachner.com,Located in Neosho County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail",Neosho,-95.306802,37.558502,Arkansas-White-Red,ArkWhtRedR
Continental Agra Grain Equipment,kansas,KS,"Newton, Kansas 67114",1-316-283-9602,www.continentalagra.com,Located in Harvey County,"Building and Home Construction, Grain Elevator Equipment and Builders, Grain Elevators",Harvey,-97.427241,38.04322,Arkansas-White-Red,ArkWhtRedR
Cooperative Elevator & Supply Company,kansas,KS,"Meade, Kansas 67864",1-620-873-2161,www.meadecoop.com,Located in Meade County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail",Meade,-100.36626,37.238138,Arkansas-White-Red,ArkWhtRedR
Cornerstone Agency LLC,kansas,KS,"Colby, Kansas 67701",1-785-462-3354,www.cornerstone-ag.com,Located in Thomas County,Grain Elevators,Thomas,-101.05557,39.350924,Missouri,MissouriR
Countryside Feed LLC,kansas,KS,"Hillsboro, Kansas 67063",1-620-947-3111,www.countrysidefeed.com,Located in Marion County,"Agricultural Equipment and Supplies Retail, Animal Health, Farm Equipment and Supplies Dealers, Grain Elevators, Pet Food and Supplies Retail",Marion,-97.096895,38.358874,Arkansas-White-Red,ArkWhtRedR
Delphos Cooperative Association Elevator,kansas,KS,"Delphos, Kansas 67436",1-785-523-4213,www.delphoscoop.com,Located in Ottawa County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail",Ottawa,-97.65022,39.132538,Missouri,MissouriR
Diversified Inc.,kansas,KS,"Shawnee, Kansas 66226",1-913-424-0244,www.kcdiversifiedcontractors.com,Located in Johnson County,"Building and Home Construction, Building Contractors, Construction Companies, Design and Build Contractors, Grain Elevators, Remodeling and Repair Contractors Commercial",Johnson,-94.822324,38.883773,Missouri,MissouriR
Farmers CO Op Elevator,kansas,KS,"Garden Plain, Kansas 67050",1-316-535-2221,gardenplaincoop.com,Located in Sedgwick County,Grain Elevators,Sedgwick,-97.460993,37.684775,Arkansas-White-Red,ArkWhtRedR
Farmers Cooperative,kansas,KS,"Cheney, Kansas 67025",1-316-542-3181,gardenplaincoop.com,Located in Sedgwick County,Grain Elevators,Sedgwick,-97.460993,37.684775,Arkansas-White-Red,ArkWhtRedR
Farmers Cooperative Elevator,kansas,KS,"Halstead, Kansas 67056",1-316-835-2261,www.farcoop.com,Located in Harvey County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail",Harvey,-97.427241,38.04322,Arkansas-White-Red,ArkWhtRedR
Fowler Equity EXCH FERT Department,kansas,KS,"Fowler, Kansas 67844",1-620-646-5262,fowlerequity.com,Located in Meade County,"Banks, Financial Institutions, Grain Elevators, Mortgage and Loan Banks",Meade,-100.36626,37.238138,Arkansas-White-Red,ArkWhtRedR
Golden Belt Cooperative Association Inc,kansas,KS,"Ellis, Kansas 67637",1-785-726-3115,goldenbeltcoop.com,Located in Ellis County,Grain Elevators,Ellis,-99.317275,38.91474,Missouri,MissouriR
Heartland Mills Inc,kansas,KS,"Marienthal, Kansas 67863",1-620-379-4472,www.heartlandmill.com,Located in Wichita County,Grain Elevators,Wichita,-101.347393,38.48206,Arkansas-White-Red,ArkWhtRedR
Hi-Plains Cooperative Association Inc,kansas,KS,"Colby, Kansas 67701",1-785-462-3351,www.hi-plainscoop.com,Located in Thomas County,Grain Elevators,Thomas,-101.05557,39.350924,Missouri,MissouriR
Johnson Cooperative Grain Company,kansas,KS,"Johnson, Kansas 67855",1-620-492-6210,johnsoncoop.com,Located in Stanton County,Grain Elevators,Stanton,-101.784226,37.563011,Arkansas-White-Red,ArkWhtRedR
L Conat Construction,kansas,KS,"Dodge City, Kansas 67801",1-620-408-6784,www.conantconstructionllc.com,Located in Ford County,"Builders and Contractors, Building and Home Construction, Building Contractors, Construction Companies, Grain Elevators, Home Builders and Developers",Ford,-99.887965,37.691724,Arkansas-White-Red,ArkWhtRedR
Lighthouse Renovation & Repair,kansas,KS,"Overland Park, Kansas 66213",1-913-205-8997,www.lighthouserenovationkc.com/,Located in Johnson County,"Bathroom Planning and Remodeling, Building and Home Construction, Building Contractors, Building Remodeling and Repair Contractors, Construction Companies, Grain Elevators, Kitchen and Bathroom Remodeling",Johnson,-94.822324,38.883773,Missouri,MissouriR
Mc Cune Farmers Cooperative Association,kansas,KS,"Mc Cune, Kansas 66753",1-620-632-4226,mccunecoop.com,Located in Crawford County,"Agricultural Equipment and Supplies Retail, Fuels Retail, Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Propane and Natural Gas",Crawford,-94.851823,37.507323,Arkansas-White-Red,ArkWhtRedR
Mc Donald Commodities,kansas,KS,"Leawood, Kansas 66209",1-913-491-3711,mcdonaldpelz.com,Located in Johnson County,Grain Elevators,Johnson,-94.822324,38.883773,Missouri,MissouriR
Meade Cooperative South,kansas,KS,"Meade, Kansas 67864",1-620-873-2881,meadecoop.com,Located in Meade County,Grain Elevators,Meade,-100.36626,37.238138,Arkansas-White-Red,ArkWhtRedR
MGP Ingredients Inc,kansas,KS,"Atchison, Kansas 66002",1-913-367-1480,www.mgpingredients.com,Located in Atchison County,"Agricultural Equipment and Supplies Retail, Chemicals Dealers, Farm Equipment and Supplies Dealers, Grain Elevators",Atchison,-95.313495,39.531759,Missouri,MissouriR
Mid Continent Industries,kansas,KS,"Newton, Kansas 67114",1-316-283-9648,www.midcontinentindustries.com,Located in Harvey County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Metals, Welding Contractors",Harvey,-97.427241,38.04322,Arkansas-White-Red,ArkWhtRedR
Minneola Cooperative Inc,kansas,KS,"Minneola, Kansas 67865",1-620-885-4235,minneolacoop.com,Located in Clark County,Grain Elevators,Clark,-99.820313,37.235519,Arkansas-White-Red,ArkWhtRedR
OK Company Op Grain Company,kansas,KS,"Kiowa, Kansas 67070",1-620-825-4212,okcoop.com,Located in Barber County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail",Barber,-98.684831,37.228866,Arkansas-White-Red,ArkWhtRedR
Opp Concrete,kansas,KS,"Wichita, Kansas 67209",1-316-944-4600,www.oppconcretewichita.com/,Located in Sedgwick County,"Building and Home Construction, Building Contractors, Construction Companies, Grain Elevators",Sedgwick,-97.460993,37.684775,Arkansas-White-Red,ArkWhtRedR
Pawnee County Cooperative Association,kansas,KS,"Larned, Kansas 67550",1-620-285-6919,pawneecoop.com,Located in Pawnee County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail",Pawnee,-99.236731,38.181331,Arkansas-White-Red,ArkWhtRedR
Premier Construction Service Inc,kansas,KS,"Derby, Kansas 67037",1-316-440-2740,www.premiercs.net,Located in Sedgwick County,"Builders and Contractors, Building and Home Construction, Building Contractors, Carpenters, Construction Companies, Framing Contractors, Grain Elevators, Roof Structures and Trusses",Sedgwick,-97.460993,37.684775,Arkansas-White-Red,ArkWhtRedR
Pro-Ag Marketing,kansas,KS,"Kensington, Kansas 66951",1-785-476-2211,www.proagmarketing.com,Located in Smith County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Fuels Retail, Grain Elevators, Propane and Natural Gas",Smith,-98.785478,39.785174,Missouri,MissouriR
Sherwood Construction Co Inc,kansas,KS,"Wichita, Kansas 67213",1-316-943-0211,www.sherwoodcompanies.com,Located in Sedgwick County,"Building Contractors, Construction Companies, Government Contractors, Grain Elevators",Sedgwick,-97.460993,37.684775,Arkansas-White-Red,ArkWhtRedR
Southern Plains Cooperative,kansas,KS,"Lewis, Kansas 67552",1-620-324-5536,lewiscom.org,Located in Edwards County,"Auto Tire Shop Equipment and Supplies, Grain Elevators, Lawn and Garden Equipment and Supplies Retail",Edwards,-99.312166,37.887621,Arkansas-White-Red,ArkWhtRedR
Stafford County Flour Mills,kansas,KS,"Hudson, Kansas 67545",1-620-458-4121,hudsoncream.com,Located in Stafford County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail",Stafford,-98.717434,38.030988,Arkansas-White-Red,ArkWhtRedR
Steinlite Corporation,kansas,KS,"Atchison, Kansas 66002",1-913-367-3945,steinlite.com,Located in Atchison County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Industrial Equipment and Supplies Dealers, Industrial Equipment and Supplies Wholesale and Manufacturers",Atchison,-95.313495,39.531759,Missouri,MissouriR
United Prairie Agency LLC,kansas,KS,"Lakin, Kansas 67860",1-620-355-6361,unitedpag.com,Located in Kearny County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Fuel Oils, Grain Elevators, Petroleum Products and Equipment",Kearny,-101.319892,38.000239,Arkansas-White-Red,ArkWhtRedR
